"Matching number;App list;Guidepost update"
"1000;410;0.06396842887625098"
"1000;410;0.016126540955156088"
"1000;410;0.10882944986224174"
"1000;410;0.024250062182545662"
"1000;410;0.01551429508253932"
"1000;410;0.11375348712317646"
"1000;410;0.1352454659063369"
"1000;410;0.18078771093860269"
"1000;410;0.005019308999180794"
"1000;410;0.02732707094401121"
"1000;410;0.005104088922962546"
"1000;410;0.10358115402050316"
"1000;410;0.004491260973736644"
"1000;410;0.07528805988840759"
"1000;410;0.007756737992167473"
"1000;410;0.033332270104438066"
"1000;410;0.01566755003295839"
"1000;410;0.044646102003753185"
"1000;410;0.021092560840770602"
"1000;410;0.18764695897698402"
"1000;410;0.23705615499056876"
"1000;410;0.013047985965386033"
"1000;410;0.007965401979163289"
"1000;410;0.004465389996767044"
"1000;410;0.004748506937175989"
"1000;410;0.006508630933240056"
"1000;410;0.19964820914901793"
"1000;410;0.03361801593564451"
"1000;410;0.0045892728958278894"
"1000;410;0.10391212510876358"
"1000;410;0.008149916073307395"
"1000;410;0.004555264953523874"
"1000;410;0.11557406489737332"
"1000;410;0.09119998011738062"
"1000;410;0.004537070170044899"
"1000;410;0.04320449894294143"
"1000;410;0.04820988513529301"
"1000;410;0.009468208998441696"
"1000;410;0.11921362206339836"
"1000;410;0.07020796183496714"
"1000;410;0.03594200103543699"
"1000;410;0.0361198668833822"
"1000;410;0.07286383607424796"
"1000;410;0.011085401987656951"
"1000;410;0.004483585013076663"
"1000;410;0.06955906096845865"
"1000;410;0.012032968923449516"
"1000;410;0.013172916835173965"
"1000;410;0.017202127957716584"
"1000;410;0.036002681124955416"
"1000;410;0.07311690202914178"
"1000;410;0.13403189391829073"
"1000;410;0.007897950010374188"
"1000;410;0.08887289487756789"
"1000;410;0.01140337809920311"
"1000;410;0.030687806895002723"
"1000;410;0.012949347030371428"
"1000;410;0.05328307091258466"
"1000;410;0.015053917886689305"
"1000;410;0.004968726076185703"
"1000;410;0.007162739057093859"
"1000;410;0.0491377878934145"
"1000;410;0.054967925883829594"
"1000;410;0.020434292033314705"
"1000;410;0.022570760920643806"
"1000;410;0.03257445595227182"
"1000;410;0.0087208510376513"
"1000;410;0.007684346055611968"
"1000;410;0.03632048098370433"
"1000;410;0.056213256204500794"
"1000;410;0.04783362802118063"
"1000;410;0.04929748713038862"
"1000;410;0.07366933906450868"
"1000;410;0.05892636510543525"
"1000;410;0.005654046079143882"
"1000;410;0.004798158071935177"
"1000;410;0.0059450650587677956"
"1000;410;0.0061471289955079556"
"1000;410;0.15259777405299246"
"1000;410;0.05049107689410448"
"1000;410;0.020093537168577313"
"1000;410;0.004886255832388997"
"1000;410;0.18537191790528595"
"1000;410;0.02060190518386662"
"1000;410;0.07635039300657809"
"1000;410;0.02000906295143068"
"1000;410;0.012399470200762153"
"1000;410;0.10325862211175263"
"1000;410;0.0046349449548870325"
"1000;410;0.004675498930737376"
"1000;410;0.02117208600975573"
"1000;410;0.22609033505432308"
"1000;410;0.06181886699050665"
"1000;410;0.01280308305285871"
"1000;410;0.004455719143152237"
"1000;410;0.02719566598534584"
"1000;410;0.11113738105632365"
"1000;410;0.009285560110583901"
"1000;410;0.31544773280620575"
"1000;410;0.07006096304394305"
"1000;410;0.13435144303366542"
"1000;410;0.0047115120105445385"
"1000;410;0.007632189895957708"
"1000;410;0.008356706937775016"
"1000;410;0.014849433209747076"
"1000;410;0.033318481873720884"
"1000;410;0.004505974007770419"
"1000;410;0.011246656998991966"
"1000;410;0.008239771006628871"
"1000;410;0.054536917014047503"
"1000;410;0.05344199389219284"
"1000;410;0.09281234885565937"
"1000;410;0.10043668188154697"
"1000;410;0.006826451048254967"
"1000;410;0.01846882700920105"
"1000;410;0.10738352197222412"
"1000;410;0.004953076830133796"
"1000;410;0.0046319549437612295"
"1000;410;0.004318075953051448"
"1000;410;0.004302509827539325"
"1000;410;0.011392266023904085"
"1000;410;0.008033328922465444"
"1000;410;0.018067656084895134"
"1000;410;0.008109248941764235"
"1000;410;0.06439599208533764"
"1000;410;0.014433806063607335"
"1000;410;0.01933714305050671"
"1000;410;0.011892022099345922"
"1000;410;0.17720540100708604"
"1000;410;0.04519773996435106"
"1000;410;0.00431945500895381"
"1000;410;0.011558986036106944"
"1000;410;0.08869018102996051"
"1000;410;0.06996083818376064"
"1000;410;0.06557588512077928"
"1000;410;0.23799595795571804"
"1000;410;0.005435094004496932"
"1000;410;0.03022180707193911"
"1000;410;0.15713591896928847"
"1000;410;0.15932489396072924"
"1000;410;0.10808131797239184"
"1000;410;0.010142486076802015"
"1000;410;0.12421164894476533"
"1000;410;0.024325081147253513"
"1000;410;0.0044917340856045485"
"1000;410;0.004779234994202852"
"1000;410;0.008645405061542988"
"1000;410;0.004704216029495001"
"1000;410;0.01747867395170033"
"1000;410;0.017813266022130847"
"1000;410;0.007655289955437183"
"1000;410;0.05130391498096287"
"1000;410;0.013218645937740803"
"1000;410;0.004640805069357157"
"1000;410;0.007839896949008107"
"1000;410;0.021079764934256673"
"1000;410;0.016773943090811372"
"1000;410;0.004759305156767368"
"1000;410;0.011939584976062179"
"1000;410;0.007909126114100218"
"1000;410;0.004584791138768196"
"1000;410;0.01206759107299149"
"1000;410;0.0049657130148261786"
"1000;410;0.009529908187687397"
"1000;410;0.008516052039340138"
"1000;410;0.011298411060124636"
"1000;410;0.07524074194952846"
"1000;410;0.09024181496351957"
"1000;410;0.035645378986373544"
"1000;410;0.17585255485028028"
"1000;410;0.07139183999970555"
"1000;410;0.007695758948102593"
"1000;410;0.11663503386080265"
"1000;410;0.19424091093242168"
"1000;410;0.22489784914068878"
"1000;410;0.023357996018603444"
"1000;410;0.005773077951744199"
"1000;410;0.004908645059913397"
"1000;410;0.01561742089688778"
"1000;410;0.01078452100045979"
"1000;410;0.006022576941177249"
"1000;410;0.005007481900975108"
"1000;410;0.2448785409796983"
"1000;410;0.005247028078883886"
"1000;410;0.004737064009532332"
"1000;410;0.008300595916807652"
"1000;410;0.07569151185452938"
